NH4+-Ninf ,NH4+-Neff,NO2--Neff,NO3--Neff,TN--eff,FA,FNA,Day,O2,pH,HRT,Temperature,NLR,NRR,AnAOB
50,6.55,1.02,3.17,10.73,3.26,0.08,50,0.2,8,2,25,0.6,0.47,15.2
50,1.02,0.69,40.68,42.38,3.26,0.05,65,0.95,8,2,25,0.6,0.09,11
50,5.05,1.02,6.55,12.62,3.26,0.08,155,0.3,8,2,25,0.6,0.45,22.4
50,7.92,5.84,1.21,14.97,3.26,0.44,70,0.13,8,2,25,0.6,0.42,14.1
50,1.02,39.9,0.89,41.8,3.26,3.01,85,0.23,8,2,25,0.6,0.1,13.2
50,2.38,12.48,0.89,15.75,3.26,0.94,155,0.15,8,2,25,0.6,0.41,27.8
50,11.57,1.1,9.62,22.29,1.07,0.26,380,1.25,7.5,5,25,0.24,0.13,31.49
66,48.14,0.01,17.31,65.46,0.51,0.01,26,0.13,7.15,11.2,22,0.14,0.01,2.78
66,19.33,0.01,9.23,28.56,0.51,0.01,240,0.13,7.15,22,22,0.07,0.04,2.9
66,11.63,0.01,10.2,21.83,0.51,0.01,324,0.13,7.15,22,22,0.07,0.05,13.75
66,12.68,0.01,39.71,52.38,0.51,0.01,432,0.35,7.15,22,22,0.07,0.01,9.87
678,62.65,10.42,33.69,106.76,28.5,1.94,219,0.25,7.5,39.32,35,0.41,0.35,11
713.76,64.92,6.45,35.4,106.76,11.93,1.69,314,0.25,7.5,40.44,21.5,0.42,0.36,15.4
219.32,10.42,6.45,12.69,29.56,3.66,1.69,382,0.25,7.5,25.31,21.5,0.21,0.18,28
127.87,4.73,71.78,15.42,91.94,9.15,5.63,50,0.9,7.95,1.5,28,2.05,0.57,1.3
125.91,3.76,34.97,9.27,48,9.01,2.74,90,0.9,7.95,1.1,28,2.3,1.7,1.98
122.11,1.8,1.61,12.73,16.14,8.74,0.13,143,1.2,7.95,0.9,28,2.5,1.8,4.49
102.29,4.63,0.11,32.78,37.51,5.51,0.01,94,0.18,7.76,24,30,0.1,0.06,29.98
50,5.89,0.66,6.83,13.38,4.51,0.04,200,0.17,8.15,2,25,0.6,0.44,29.7
496,311,12.5,98,421.5,10.92,1.64,55,0.93,7.9,79.2,13,0.15,0.02,56
170,119,2.2,8,129.2,2.99,0.36,133,0.64,7.8,76.8,13,0.05,0.01,56
129,63,2.8,17,82.8,1.14,0.92,189,0.82,7.5,55.2,13,0.06,0.02,50
86,31,1.6,21,53.6,0.3,1.33,258,0.49,7.1,38.4,13,0.05,0.02,57
50,15.4,0.75,11.51,27.66,4.25,0.05,331,0.13,8,2,29,0.6,0.27,20.1
50,6.43,1.04,13.17,20.64,6.18,0.06,649,0.04,8,2,35,0.6,0.35,15.3
160.58,14.97,0.75,11.02,26.74,0.91,0.56,155,1.16,7.05,4.7,20.7,0.82,0.68,10.59
134.13,16.04,0.75,11.46,28.26,0.67,0.59,192,1.22,7.05,3.7,19,0.87,0.69,14.71
129.5,23.98,0.75,13.07,37.8,0.56,0.62,224,1.22,7.05,3.7,17.1,0.84,0.59,12.23
132.58,13.07,0.75,7.45,21.27,0.5,0.66,247,1.5,7.05,3.7,15.2,0.86,0.72,16.22
112.54,4.54,0.75,8.08,13.36,0.4,0.67,297,2.18,7.05,3.7,14.4,0.73,0.64,20.57
141.54,11.05,0.75,10.25,22.04,0.55,0.65,332,2.37,7.05,4.3,15.6,0.79,0.67,15.25
152.29,10.01,0.75,11.05,21.81,0.7,0.61,375,2.39,7.05,4.3,18,0.85,0.73,15.99
131.25,3.11,0.75,13.22,17.08,0.7,0.58,424,2.27,7.05,3.5,19.9,0.9,0.78,20.18
108.75,8.37,0.75,11.64,20.77,0.58,0.58,487,2.29,7.05,2.9,20,0.9,0.73,24.1
120.38,11.11,0.75,6.74,18.6,0.64,0.58,537,2.08,7.05,2.7,19.8,1.07,0.9,20.11
111.38,25.02,0.75,4.57,30.34,0.51,0.61,589,1.74,7.05,2.7,17.9,0.99,0.72,16.22
119.17,2.81,0.75,5.67,9.23,0.43,0.67,616,1.74,7.05,2.6,14.7,1.1,1.01,20.87
92.96,5.85,0.75,3.32,9.92,0.29,0.7,639,1.53,7.05,2.3,13,0.97,0.87,17.78
92.96,16.04,0.75,3.79,20.59,0.29,0.7,679,1.57,7.05,2.3,13,0.97,0.76,20.18
112.5,19.01,0.75,3.71,23.47,0.4,0.67,723,1.53,7.05,2.7,14.4,1,0.79,20.87
108.33,13.99,0.75,5.73,20.47,0.43,0.64,759,1.53,7.05,2.6,16.1,1,0.81,23.05
53.75,5.07,0.75,8.58,14.4,0.27,0.59,828,0.99,7.05,3,19.1,0.43,0.31,19.83
121.83,13.16,0.75,9.18,23.08,0.66,0.57,869,0.76,7.05,6.8,20.2,0.43,0.35,29.72
127.08,7.45,0.75,9.26,17.47,0.54,0.62,922,0.99,7.05,6.1,17,0.5,0.43,19.06
127.08,1.33,0.75,6.38,8.46,0.54,0.62,983,0.99,7.05,6.1,17,0.5,0.47,28.14
127.08,4.3,0.75,8.19,13.24,0.54,0.62,998,0.99,7.05,6.1,17,0.5,0.45,31.05
517.2,20.49,2.41,49.83,72.73,19.09,0.47,64,0.25,7.5,48,33,0.26,0.22,26.95
475.07,32.4,1.52,45.2,79.12,17.53,0.3,118,0.4,7.5,24,33,0.48,0.4,17.97
503.08,18.95,3.07,51.15,73.17,18.57,0.6,168,0.4,7.5,24,33,0.5,0.43,14.07
33.4,6.1,1.2,0.01,7.3,0.14,1.5,57,0.28,6.78,4,25,0.2,0.16,9.8
35.1,4.7,1.5,0.01,6.2,0.2,1.07,108,0.48,7.08,4,20,0.21,0.17,6.8
30.9,7.4,1.9,0.01,9.3,0.12,1.52,151,1.17,7.09,4,15,0.19,0.13,11.4
238.81,25.49,51.76,25.49,102.74,29.53,1.96,145,0.05,8.3,8,25,0.72,0.41,32.33
585.47,44.69,25.49,44.69,114.87,133.62,0.47,196,0.09,8.61,16,25,0.88,0.71,26.2
615.7,236.67,25.49,55.8,317.97,84.37,0.86,231,0.05,8.35,16,25,0.92,0.45,26.65
323.46,27.51,25.49,29.53,82.53,49.06,0.77,300,0.04,8.4,16,25,0.49,0.36,18.25
307.34,29.53,25.49,27.51,82.53,32.16,1.16,350,0.02,8.22,16,25,0.46,0.34,21.2
50,5.65,0.72,7.61,13.98,1.34,0.14,100,0.13,7.6,2,25,0.6,0.43,29.9
27.29,1.86,0.01,4.29,6.15,0.22,0,33,0.15,7.4,19.29,14.83,0.03,0.03,1.12
18.77,0.2,0.01,13.18,13.37,0.16,0,49,0.45,7.4,20.07,15.35,0.02,0.01,8.65
17.57,1.79,0.01,7.96,9.75,0.15,0,65,1.19,7.4,9.4,15.88,0.04,0.02,7.81
21.18,1.75,0.01,6.69,8.44,0.18,0,79,1.19,7.4,8.88,15.14,0.06,0.03,5.62
22.57,0.43,0.01,7.42,7.85,0.23,0,97,1.19,7.4,6.91,17.94,0.08,0.05,8.71
22.3,1.25,0.01,8.5,9.75,0.19,0,117,0.18,7.4,9.03,15.4,0.06,0.03,10.34
20.63,2.13,0.01,3.9,6.03,0.18,0,131,0.18,7.4,11.11,15.83,0.04,0.03,8.65
24.24,2.29,0.01,7.34,9.63,0.2,0,148,0.18,7.4,10.59,15.14,0.05,0.03,9.6
26.74,0.62,0.01,8.66,9.29,0.22,0,168,0.18,7.4,12.19,14.95,0.05,0.03,10.74
29.24,5.22,0.01,2.83,8.05,0.24,0,197,0.18,7.4,12.45,15.09,0.06,0.04,12.42
30.08,1.52,0.01,4.91,6.42,0.26,0,219,0.18,7.4,11.67,15.57,0.06,0.05,14.78
34.52,1.36,0.01,7.34,8.7,0.29,0,247,0.18,7.4,13.11,15.26,0.06,0.05,15.23
27.03,2.63,0.01,4.37,7,0.25,0,261,0.18,7.4,11.78,16.76,0.06,0.04,12.76
21.74,2.52,0.01,1.59,4.11,0.18,0,274,0.18,7.4,10.07,15.44,0.05,0.04,8.93
20.9,2.09,0.01,0.66,2.75,0.18,0,303,0.18,7.4,11.67,15.35,0.04,0.04,12.08
21,2.32,0.01,0.62,2.95,0.18,0,317,0.18,7.4,12.97,15.22,0.04,0.03,15.11
21.09,2.63,0.01,0.32,2.95,0.18,0,342,0.18,7.4,14.82,15.35,0.03,0.03,13.55
21.36,2.75,0.59,0.16,3.5,0.2,0.22,352,0.17,7.4,22.45,16.76,0.02,0.02,9.49
23.03,1.52,1.63,0.28,3.42,0.2,0.63,391,1.22,7.4,12.3,15.52,0.04,0.04,8.48
20.34,1.25,1.82,0.89,3.96,0.18,0.7,401,1.22,7.4,11.67,15.66,0.04,0.03,7.98
31.46,1.36,3.83,0.74,5.93,0.27,1.49,418,1.21,7.4,10.22,15.44,0.07,0.06,3.26
17.28,1.28,1.59,0.28,3.15,0.15,0.62,434,1.21,7.4,9.67,15.4,0.04,0.04,10.46
19.24,1.09,2.63,0.82,4.54,0.23,0.91,461,1.58,7.4,7.32,19.74,0.06,0.05,11.91
25.35,0.74,2.79,1.52,5.05,0.26,1.02,475,1.58,7.4,8.62,17.77,0.07,0.06,20.23
23.03,0.55,2.94,2.17,5.66,0.2,1.13,490,1.58,7.4,18.62,15.88,0.03,0.02,15.11
19.13,0.74,2.29,2.05,5.09,0.18,0.86,496,1.58,7.4,11.52,16.58,0.04,0.03,15.4
15.72,1.13,0.93,1.36,3.42,0.13,0.37,502,1.58,7.4,11.67,15,0.03,0.03,19.17
22.39,1.09,0.51,0.82,2.42,0.19,0.2,516,0.18,7.4,16.65,15.49,0.03,0.03,5
31.29,1.25,1.4,0.39,3.03,0.27,0.54,549,0.18,7.4,10.85,15.83,0.07,0.06,7.65
34.63,1.36,1.9,0.28,3.54,0.28,0.75,565,0.18,7.4,11,14.69,0.08,0.07,10.4
44.9,10.31,0.83,1.56,12.7,0.77,0.25,35,0.25,7.4,17.5,25,0.06,0.05,17.1
44.9,6.11,0.68,7.57,14.36,0.77,0.2,70,0.25,7.4,17.5,25,0.06,0.04,13.7
44.9,2.48,0.63,20.38,23.5,0.77,0.19,95,0.25,7.4,17.5,25,0.06,0.03,2.3
100,3.18,15.69,9.61,28.48,15.17,0.73,62,0.13,8.1,24,35,0.1,0.07,12.47
200,17.12,3.18,31.06,51.36,30.34,0.15,106,0.13,8.1,24,35,0.2,0.15,12.65
67.89,4.73,1.01,9.59,15.34,2.01,0.14,264,1,7.8,1.3,20,1.25,0.97,4.45
72.15,0.67,0.61,12.16,13.44,2.13,0.08,320,1.8,7.8,1.3,20,1.33,1.08,8.41
110.05,37.07,1.04,53.41,91.52,8.78,0.08,69,0.22,7.94,74.08,30,0.18,0.03,21.14
116.05,26.79,7.05,11.1,44.94,9.26,0.54,195,0.28,7.94,9.48,30,0.19,0.11,2.95
250,52.45,4.52,29.1,86.07,30.92,0.27,14,0.07,8,6,35,1,0.66,17.24
50,22.14,5.34,15.58,43.06,6.18,0.31,46,0.04,8,4,35,0.3,0.04,4.92
100,77.85,188.47,14.76,281.09,4.2,35.02,61,0.01,7.5,6,35,1.2,0.08,3.61
250,120.46,9.03,18.04,147.53,30.92,0.53,90,0.1,8,6,35,1,0.41,3.92
250,55.73,6.16,29.1,90.99,30.92,0.36,114,0.17,8,6,35,1,0.64,8.86
250,15.41,1.85,20.6,37.86,12.06,0.26,25,0.25,7.65,4,32,1.5,1.27,17.2
50,5.77,1.85,7.12,14.74,2.41,0.26,110,0.05,7.65,2,32,0.6,0.42,15.3
50,12.51,1.85,12.69,27.06,0.73,0.41,190,0.04,7.65,2,15,0.6,0.28,14.1
50,8.34,1.55,7.42,17.31,2.41,0.22,250,0.08,7.65,2,32,0.6,0.39,18.5
46.32,1.47,1.47,6.32,9.25,1.87,0.19,45,1,7.75,12,26,0.09,0.07,13.91
46.96,23.76,7.78,8.55,40.1,1.89,1.02,45,1,7.75,12,26,0.09,0.01,9.74
45.41,13.13,4.47,18.31,35.91,1.83,0.58,45,1,7.75,12,26,0.09,0.02,13.05
46.12,4.42,6.94,13.06,24.42,1.86,0.91,45,1,7.75,12,26,0.09,0.04,1.64
500,309.76,2.94,19.73,332.43,21.46,0.43,27,0.07,7.65,12,30.23,1,0.34,18.5
50.25,1.9,1.22,45.47,48.59,3.28,0.09,35,0.77,8,2,25,0.6,0.02,3.5
49.52,7.24,2.18,5.55,14.97,3.23,0.16,120,0.25,8,2,25,0.6,0.41,11
495,23.3,13,49.1,85.4,47.6,0.65,25,0.3,8.18,12,25,0.99,0.82,22.24
502,25.3,4.9,34.3,64.5,84.14,0.13,81,0.01,8.45,12,25,1,0.88,14.47
963,12.1,2.5,71.8,86.4,102.9,0.11,102,0.1,8.23,24,25,0.96,0.88,13.76
1495,30.4,7.3,96.1,133.8,132.02,0.4,147,0.02,8.14,36,25,1,0.91,20.07
2112,207,57.1,66.6,330.7,194.63,2.98,171,0.2,8.16,50.5,25,1,0.85,8.83
251.99,131.04,36.55,1.89,169.49,24.08,2.56,5,0.15,7.95,12,32.5,0.5,0.17,8.2
249.06,39.88,21.4,4.22,65.49,23.8,1.5,60,0.21,7.95,12,32.5,0.5,0.37,10.4
266.88,27.02,14.12,11.79,52.93,25.5,0.99,175,0.44,7.95,8,32.5,0.8,0.64,3.2
220.4,27.02,4.89,17.42,49.33,21.06,0.34,235,0.8,7.95,6,32.5,0.88,0.68,7.4
240.26,18.89,2.27,26.28,47.43,22.95,0.16,350,0.21,7.95,4,32.5,1.44,1.16,2.3
331.08,15.09,6.06,37.27,58.43,13.99,0.9,165,1.9,7.65,1.5,30,2.5,2.3,35.4
71.5,17.91,5.27,1.46,24.64,1.24,1.36,83,1.36,7.5,18,22,0.1,0.06,0.52
67.42,1.23,0.54,4.93,6.7,1.17,0.14,179,0.99,7.5,17,22,0.1,0.09,0.9
50.75,32.16,0.01,17.76,50.11,2.14,0,31,1,7.65,12,30,0.1,0.01,0.1
58.15,3.7,0.01,3.83,6.8,2.46,0,213,1,7.65,12,30,0.12,0.1,0.79
250,16.28,3.59,27.86,47.73,13.11,0.34,35,0.29,7.9,6,25,1,0.81,7.4
250,10.72,3.15,3.82,17.68,13.11,0.3,150,0.37,7.9,6,25,1,0.93,4.7
250,101.98,3.15,3.15,108.28,13.11,0.3,250,0.51,7.9,6,25,1,0.57,0.8
147.49,41.36,27.16,50.83,119.34,13.38,1.81,30,0.03,8,8,30,0.44,0.08,0.14
249.64,115.85,54.31,33.39,203.55,22.64,3.61,45,0.04,8,8,30,0.75,0.14,0.08
248.53,101.88,40.36,22.06,164.31,22.54,2.68,60,0.06,8,8,30,0.75,0.25,0.09
251.98,111.96,2.7,31.34,146.01,22.86,0.18,100,0.09,8,6,30,1.01,0.42,1.41
270.28,65.29,2.7,30.02,98.01,24.52,0.18,150,0.06,8,6,30,1.08,0.69,1.29
347.71,76.69,0.58,27.9,105.17,31.54,0.04,200,0.08,8,6,30,1.39,0.97,5.02
60.2,0.01,0.01,2.79,2.79,0.69,0,33,0.7,7.2,15.85,25.8,0.09,0.09,0.54
59.6,0.01,0.01,5.36,5.36,0.44,0.01,71,0.7,7.2,18.79,19.7,0.08,0.07,0.37
49.57,0.01,0.01,7.51,7.51,0.23,0.01,129,0.7,7.2,20.66,13.7,0.06,0.05,0.29
354.56,43.44,8.17,25.1,76.71,19.97,0.94,50,0.1,7.75,24,31,0.35,0.28,2.2
393.36,8.17,7.11,69.9,85.18,22.15,0.82,125,0.1,7.75,20,31,0.47,0.37,22.7
418.11,12.71,9.18,39.58,61.47,23.55,1.06,125,0.1,7.75,12,31,0.84,0.71,34.4
46.9,3.63,0.49,0.72,4.84,0.51,0.23,27,0.8,7.2,12,25,0.09,0.08,0.96
52.22,12.5,0.1,2.52,15.13,0.57,0.05,46,0.8,7.2,12,25,0.1,0.07,9.05
42.11,27.75,0.7,0.91,29.36,0.65,0.29,126,0.8,7.2,16,30,0.06,0.02,1.27
51.87,17.04,0.1,0.1,17.24,0.8,0.04,188,0.8,7.2,16,30,0.08,0.05,13.41
55.74,24.16,7.62,0.76,32.55,0.86,3.2,264,1.5,7.2,16,30,0.08,0.03,0.65
50.05,22.47,5.25,0.02,27.73,0.77,2.2,290,1.5,7.2,16,30,0.08,0.03,8.39
43.27,2.67,0.37,0.76,3.8,0.47,0.18,423,0.8,7.2,12,25,0.09,0.08,8.43
70.7,1.96,2.19,8.46,12.61,2.97,0.26,64,0.8,7.8,0.9,25,1.89,1.55,47.4
70.7,56.53,0.98,2.19,59.7,2.97,0.12,229,0.8,7.8,0.5,25,2.5,0.53,20
51.56,21.43,1.31,15.39,38.13,2.18,0.19,75,0.55,7.65,5.7,30,0.22,0.06,0.77
66.03,0.01,0.72,54.43,54.19,2.79,0.11,92,2.5,7.65,6.42,30,0.25,0.04,0.25
312.5,17.42,6.57,30.69,54.68,34.1,0.29,154,0.05,8.24,6,25,1.25,1.03,24.3
500,134.39,6.57,40.33,181.3,37.99,0.42,224,0.05,8.07,6,25,2,1.27,26.03
793.57,51.53,11.03,88.92,151.49,135.92,0.3,21,0.09,8.43,15,26,1.27,1.03,29.74
918.9,157.46,14.15,28.17,199.78,90.43,0.72,51,0.08,8.16,15,26,1.47,1.15,22.84
1072.84,18.04,7.92,113.06,139.02,245.28,0.15,66,0.27,8.58,15,26,1.72,1.49,17.19
912.09,408.25,18.04,18.04,444.34,108.4,0.75,85,0.02,8.25,15,26,1.46,0.75,15.26
864.41,140.32,18.04,75.68,234.04,123.6,0.61,93,0.02,8.34,15,26,1.38,1.01,14
50,2.98,3.89,10.17,17.04,1.28,0.77,175,0.25,7.58,3,25,0.4,0.26,5.44
50,0.71,1.54,4.18,6.43,1.28,0.31,348,0.5,7.58,3,25,0.4,0.35,13.22
